Marker	Genotype	Morex	Steptoe
plc	dh001	0	1
plc	dh002	0	1
plc	dh003	0	1
plc	dh004	0	1
plc	dh005	0	1
plc	dh006	0	1
plc	dh007	1	0
plc	dh008	1	0
plc	dh009	0	1
plc	dh010	0	1
plc	dh011	1	0
plc	dh012	1	0
plc	dh013	1	0
plc	dh014	0	1
plc	dh015	1	0
plc	dh016	0	1
plc	dh017	0	1
plc	dh018	1	0
plc	dh019	0	1
plc	dh020	1	0
plc	dh021	0	1
plc	dh022	1	0
plc	dh023	0	1
plc	dh024	1	0
plc	dh025	1	0
plc	dh026	0	1
plc	dh027	1	0
plc	dh028	1	0
plc	dh029	1	0
plc	dh030	0	1
plc	dh031	1	0
plc	dh032	1	0
plc	dh033	1	0
plc	dh034	1	0
plc	dh035	0	1
plc	dh036	0	1
plc	dh037	0	1
plc	dh038	0	1
plc	dh039	0	1
plc	dh040	0	1
plc	dh041	0	1
plc	dh042	1	0
plc	dh043	1	0
plc	dh044	1	0
plc	dh045	1	0
plc	dh046	0	1
plc	dh047	0	1
plc	dh048	0	1
plc	dh049	0	1
plc	dh050	1	0
plc	dh051	0	1
plc	dh052	0	1
plc	dh053	1	0
plc	dh054	1	0
plc	dh055	1	0
plc	dh056	1	0
plc	dh057	0	1
plc	dh058	1	0
plc	dh059	0	1
plc	dh060	0	1
plc	dh061	1	0
plc	dh062	0	1
plc	dh063	0	1
plc	dh064	1	0
plc	dh065	0	1
plc	dh066	0	1
plc	dh067	0	1
plc	dh068	0	1
plc	dh069	0	1
plc	dh070	0	1
plc	dh071	0	1
plc	dh072	0	1
plc	dh073	0	1
plc	dh074	1	0
plc	dh075	1	0
plc	dh076	1	0
plc	dh077	0	1
plc	dh078	1	0
plc	dh079	0	1
plc	dh080	1	0
plc	dh081	1	0
plc	dh082	0	1
plc	dh083	0	1
plc	dh084	1	0
plc	dh085	0	1
plc	dh086	1	0
plc	dh087	1	0
plc	dh088	1	0
plc	dh089	0	1
plc	dh090	0	1
plc	dh091	1	0
plc	dh092	1	0
plc	dh093	0	1
plc	dh094	0	1
plc	dh095	1	0
plc	dh096	0	1
plc	dh097	1	0
plc	dh098	1	0
plc	dh099	1	0
plc	dh100	1	0
plc	dh101	0	1
plc	dh102	1	0
plc	dh103	1	0
plc	dh104	0	1
plc	dh105	1	0
plc	dh106	1	0
plc	dh107	0	1
plc	dh108	0	1
plc	dh109	0	1
plc	dh110	1	0
plc	dh111	1	0
plc	dh112	0	1
plc	dh113	0	1
plc	dh114	0	1
plc	dh115	1	0
plc	dh116	1	0
plc	dh117	0	1
plc	dh118	0	1
plc	dh119	1	0
plc	dh120	1	0
plc	dh121	0	1
plc	dh122	0	1
plc	dh123	0	1
plc	dh124	1	0
plc	dh125	1	0
plc	dh126	0	1
plc	dh127	1	0
plc	dh128	1	0
plc	dh129	0	1
plc	dh130	0	1
plc	dh131	1	0
plc	dh132	0	1
plc	dh133	0	1
plc	dh134	0	1
plc	dh135	0	1
plc	dh136	0	1
plc	dh137	0	1
plc	dh138	1	0
plc	dh139	1	0
plc	dh140	0	1
plc	dh141	1	0
plc	dh142	1	0
plc	dh143	0	1
plc	dh144	1	0
plc	dh145	1	0
plc	dh146	0	1
plc	dh147	0	1
plc	dh148	1	0
plc	dh149	0	1
plc	dh150	0	1
glx	dh001	1	0
glx	dh002	0	1
glx	dh003	0	1
glx	dh004	0	1
glx	dh005	0	1
glx	dh006	0	1
glx	dh007	1	0
glx	dh008	1	0
glx	dh009	0	1
glx	dh010	0	1
glx	dh011	1	0
glx	dh012	1	0
glx	dh013	0.990126	0.009874
glx	dh014	0.774087	0.225913
glx	dh015	0	1
glx	dh016	1	0
glx	dh017	0	1
glx	dh018	1	0
glx	dh019	0	1
glx	dh020	1	0
glx	dh021	0	1
glx	dh022	1	0
glx	dh023	1	0
glx	dh024	0	1
glx	dh025	1	0
glx	dh026	0	1
glx	dh027	1	0
glx	dh028	1	0
glx	dh029	1	0
glx	dh030	0	1
glx	dh031	1	0
glx	dh032	1	0
glx	dh033	1	0
glx	dh034	1	0
glx	dh035	0	1
glx	dh036	0	1
glx	dh037	0	1
glx	dh038	1	0
glx	dh039	0	1
glx	dh040	1	0
glx	dh041	0	1
glx	dh042	1	0
glx	dh043	1	0
glx	dh044	1	0
glx	dh045	1	0
glx	dh046	0	1
glx	dh047	0	1
glx	dh048	0	1
glx	dh049	0	1
glx	dh050	1	0
glx	dh051	0	1
glx	dh052	1	0
glx	dh053	1	0
glx	dh054	1	0
glx	dh055	1	0
glx	dh056	1	0
glx	dh057	0	1
glx	dh058	1	0
glx	dh059	0	1
glx	dh060	0	1
glx	dh061	1	0
glx	dh062	0	1
glx	dh063	0	1
glx	dh064	1	0
glx	dh065	0	1
glx	dh066	0	1
glx	dh067	0	1
glx	dh068	0	1
glx	dh069	0	1
glx	dh070	0	1
glx	dh071	0	1
glx	dh072	0	1
glx	dh073	0	1
glx	dh074	1	0
glx	dh075	0	1
glx	dh076	0	1
glx	dh077	1	0
glx	dh078	0	1
glx	dh079	1	0
glx	dh080	1	0
glx	dh081	1	0
glx	dh082	0	1
glx	dh083	0	1
glx	dh084	1	0
glx	dh085	0	1
glx	dh086	1	0
glx	dh087	1	0
glx	dh088	1	0
glx	dh089	0	1
glx	dh090	0	1
glx	dh091	1	0
glx	dh092	1	0
glx	dh093	1	0
glx	dh094	0	1
glx	dh095	1	0
glx	dh096	1	0
glx	dh097	1	0
glx	dh098	1	0
glx	dh099	1	0
glx	dh100	1	0
glx	dh101	0	1
glx	dh102	1	0
glx	dh103	1	0
glx	dh104	1	0
glx	dh105	1	0
glx	dh106	1	0
glx	dh107	0	1
glx	dh108	0	1
glx	dh109	1	0
glx	dh110	1	0
glx	dh111	1	0
glx	dh112	0	1
glx	dh113	0	1
glx	dh114	0	1
glx	dh115	1	0
glx	dh116	1	0
glx	dh117	0	1
glx	dh118	0	1
glx	dh119	1	0
glx	dh120	0	1
glx	dh121	0	1
glx	dh122	0	1
glx	dh123	0	1
glx	dh124	1	0
glx	dh125	1	0
glx	dh126	0	1
glx	dh127	1	0
glx	dh128	1	0
glx	dh129	0	1
glx	dh130	0	1
glx	dh131	1	0
glx	dh132	0	1
glx	dh133	1	0
glx	dh134	0	1
glx	dh135	0	1
glx	dh136	0	1
glx	dh137	0	1
glx	dh138	0	1
glx	dh139	0	1
glx	dh140	0	1
glx	dh141	1	0
glx	dh142	1	0
glx	dh143	0	1
glx	dh144	1	0
glx	dh145	0	1
glx	dh146	0	1
glx	dh147	0	1
glx	dh148	1	0
glx	dh149	0	1
glx	dh150	0.009874	0.990126
wg789a	dh001	1	0
